index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance
0.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0030399999999999997,2.9
1.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0049299999999999995,5.81
2.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.007379999999999999,8.71
3.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.012,11.6
4.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0123,14.5
5.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0179,17.4
6.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0209,20.3
7.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0184,21.8
8.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0548,23.2
9.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.0658,29.0
10.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.149,58.1
11.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.21600000000000003,87.1
12.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.265,116.0
13.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.37799999999999995,145.0
14.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.465,160.0
15.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.49,168.0
16.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.557,174.0
17.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,0.662,189.0
18.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,1.03,193.0
19.0,12.0,24.0,242.0,3.0,4.0,0.68,14.0,0.6,0.000268,1.61,193.0
20.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.00629,12.9
21.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0109,25.8
22.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0136,32.3
23.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0152,36.1
24.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0187,38.7
25.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0218,51.6
26.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0281,58.1
27.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0734,61.9
28.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0734,64.5
29.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.0869,77.4
30.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.146,103.0
31.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.171,129.0
32.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.452,387.0
33.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.613,516.0
34.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.66,555.0
35.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.6759999999999999,568.0
36.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.693,581.0
37.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,0.8370000000000001,606.0
38.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.48,619.0
39.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.61,645.0
40.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,1.63,671.0
41.0,43.0,24.0,300.0,4.0,4.0,1.76,13.0,0.8,0.000268,2.66,671.0
42.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0112,22.7
43.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0222,45.4
44.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0256,52.2
45.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0278,56.7
46.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0334,68.0
47.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0445,90.7
48.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.0461,94.1
49.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.11,97.5
50.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.11699999999999999,102.0
51.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.132,113.0
52.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.16399999999999998,136.0
53.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.218,181.0
54.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.299,227.0
55.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.6629999999999999,454.0
56.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.8,590.0
57.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.865,635.0
58.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.898,658.0
59.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.914,669.0
60.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.9209999999999999,674.0
61.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.9309999999999999,680.0
62.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.914,703.0
63.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,0.945,726.0
64.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,1.04,794.0
65.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.64,812.0
66.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.71,828.0
67.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,2.85,862.0
68.0,54.0,30.0,420.0,4.0,4.0,1.61,16.0,0.8,0.000268,3.55,862.0
69.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.00857,29.7
70.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0155,59.4
71.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0233,89.1
72.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.031,119.0
73.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0322,123.0
74.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0334,128.0
75.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0341,131.0
76.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0916,134.0
77.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.0979,149.0
78.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.11800000000000001,178.0
79.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.159,238.0
80.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.321,446.0
81.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.597,891.0
82.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.856,1190.0
83.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.889,1230.0
84.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.8740000000000001,1280.0
85.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.878,1280.0
86.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.885,1290.0
87.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.8959999999999999,1310.0
88.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.917,1340.0
89.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,0.9590000000000001,1400.0
90.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,2.14,1440.0
91.0,66.0,38.0,450.0,4.0,4.0,2.0,16.0,0.8,0.000268,2.16,1490.0
