index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance,
0,12,24,242,3,4,0.68,14,0.6,0.000268,0.00304,2.9,
1,12,24,242,3,4,0.68,14,0.6,0.000268,0.00493,5.81,
2,12,24,242,3,4,0.68,14,0.6,0.000268,0.00738,8.71,
3,12,24,242,3,4,0.68,14,0.6,0.000268,0.012,11.6,
4,12,24,242,3,4,0.68,14,0.6,0.000268,0.0123,14.5,
5,12,24,242,3,4,0.68,14,0.6,0.000268,0.0179,17.4,
6,12,24,242,3,4,0.68,14,0.6,0.000268,0.0209,20.3,
7,12,24,242,3,4,0.68,14,0.6,0.000268,0.0184,21.8,
8,12,24,242,3,4,0.68,14,0.6,0.000268,0.0548,23.2,
9,12,24,242,3,4,0.68,14,0.6,0.000268,0.0658,29,
10,12,24,242,3,4,0.68,14,0.6,0.000268,0.149,58.1,
11,12,24,242,3,4,0.68,14,0.6,0.000268,0.216,87.1,
12,12,24,242,3,4,0.68,14,0.6,0.000268,0.265,116,
13,12,24,242,3,4,0.68,14,0.6,0.000268,0.378,145,
14,12,24,242,3,4,0.68,14,0.6,0.000268,0.465,160,
15,12,24,242,3,4,0.68,14,0.6,0.000268,0.49,168,
16,12,24,242,3,4,0.68,14,0.6,0.000268,0.557,174,
17,12,24,242,3,4,0.68,14,0.6,0.000268,0.662,189,
18,12,24,242,3,4,0.68,14,0.6,0.000268,1.03,193,
19,12,24,242,3,4,0.68,14,0.6,0.000268,1.61,193,
20,43,24,300,4,4,1.76,13,0.8,0.000268,0.00629,12.9,
21,43,24,300,4,4,1.76,13,0.8,0.000268,0.0109,25.8,
22,43,24,300,4,4,1.76,13,0.8,0.000268,0.0136,32.3,
23,43,24,300,4,4,1.76,13,0.8,0.000268,0.0152,36.1,
24,43,24,300,4,4,1.76,13,0.8,0.000268,0.0187,38.7,
25,43,24,300,4,4,1.76,13,0.8,0.000268,0.0218,51.6,
26,43,24,300,4,4,1.76,13,0.8,0.000268,0.0281,58.1,
27,43,24,300,4,4,1.76,13,0.8,0.000268,0.0734,61.9,
28,43,24,300,4,4,1.76,13,0.8,0.000268,0.0734,64.5,
29,43,24,300,4,4,1.76,13,0.8,0.000268,0.0869,77.4,
30,43,24,300,4,4,1.76,13,0.8,0.000268,0.146,103,
31,43,24,300,4,4,1.76,13,0.8,0.000268,0.171,129,
32,43,24,300,4,4,1.76,13,0.8,0.000268,0.452,387,
33,43,24,300,4,4,1.76,13,0.8,0.000268,0.613,516,
34,43,24,300,4,4,1.76,13,0.8,0.000268,0.66,555,
35,43,24,300,4,4,1.76,13,0.8,0.000268,0.676,568,
36,43,24,300,4,4,1.76,13,0.8,0.000268,0.693,581,
37,43,24,300,4,4,1.76,13,0.8,0.000268,0.837,606,
38,43,24,300,4,4,1.76,13,0.8,0.000268,1.48,619,
39,43,24,300,4,4,1.76,13,0.8,0.000268,1.61,645,
40,43,24,300,4,4,1.76,13,0.8,0.000268,1.63,671,
41,43,24,300,4,4,1.76,13,0.8,0.000268,2.66,671,
48,54,30,420,4,4,1.61,16,0.8,0.000268,0.0112,22.7,
49,54,30,420,4,4,1.61,16,0.8,0.000268,0.0222,45.4,
50,54,30,420,4,4,1.61,16,0.8,0.000268,0.0256,52.2,
51,54,30,420,4,4,1.61,16,0.8,0.000268,0.0278,56.7,
52,54,30,420,4,4,1.61,16,0.8,0.000268,0.0334,68,
53,54,30,420,4,4,1.61,16,0.8,0.000268,0.0445,90.7,
54,54,30,420,4,4,1.61,16,0.8,0.000268,0.0461,94.1,
55,54,30,420,4,4,1.61,16,0.8,0.000268,0.11,97.5,
56,54,30,420,4,4,1.61,16,0.8,0.000268,0.117,102,
57,54,30,420,4,4,1.61,16,0.8,0.000268,0.132,113,
58,54,30,420,4,4,1.61,16,0.8,0.000268,0.164,136,
59,54,30,420,4,4,1.61,16,0.8,0.000268,0.218,181,
60,54,30,420,4,4,1.61,16,0.8,0.000268,0.299,227,
61,54,30,420,4,4,1.61,16,0.8,0.000268,0.663,454,
62,54,30,420,4,4,1.61,16,0.8,0.000268,0.8,590,
63,54,30,420,4,4,1.61,16,0.8,0.000268,0.865,635,
64,54,30,420,4,4,1.61,16,0.8,0.000268,0.898,658,
65,54,30,420,4,4,1.61,16,0.8,0.000268,0.914,669,
66,54,30,420,4,4,1.61,16,0.8,0.000268,0.921,674,
67,54,30,420,4,4,1.61,16,0.8,0.000268,0.931,680,
68,54,30,420,4,4,1.61,16,0.8,0.000268,0.914,703,
69,54,30,420,4,4,1.61,16,0.8,0.000268,0.945,726,
70,54,30,420,4,4,1.61,16,0.8,0.000268,1.04,794,
71,54,30,420,4,4,1.61,16,0.8,0.000268,2.64,812,
72,54,30,420,4,4,1.61,16,0.8,0.000268,2.71,828,
73,54,30,420,4,4,1.61,16,0.8,0.000268,2.85,862,
74,54,30,420,4,4,1.61,16,0.8,0.000268,3.55,862,
76,66,38,450,4,4,2,16,0.8,0.000268,0.00857,29.7,
77,66,38,450,4,4,2,16,0.8,0.000268,0.0155,59.4,
78,66,38,450,4,4,2,16,0.8,0.000268,0.0233,89.1,
79,66,38,450,4,4,2,16,0.8,0.000268,0.031,119,
80,66,38,450,4,4,2,16,0.8,0.000268,0.0322,123,
81,66,38,450,4,4,2,16,0.8,0.000268,0.0334,128,
82,66,38,450,4,4,2,16,0.8,0.000268,0.0341,131,
83,66,38,450,4,4,2,16,0.8,0.000268,0.0916,134,
84,66,38,450,4,4,2,16,0.8,0.000268,0.0979,149,
85,66,38,450,4,4,2,16,0.8,0.000268,0.118,178,
86,66,38,450,4,4,2,16,0.8,0.000268,0.159,238,
87,66,38,450,4,4,2,16,0.8,0.000268,0.321,446,
88,66,38,450,4,4,2,16,0.8,0.000268,0.597,891,
89,66,38,450,4,4,2,16,0.8,0.000268,0.856,1190,
90,66,38,450,4,4,2,16,0.8,0.000268,0.889,1230,
91,66,38,450,4,4,2,16,0.8,0.000268,0.874,1280,
92,66,38,450,4,4,2,16,0.8,0.000268,0.878,1280,
93,66,38,450,4,4,2,16,0.8,0.000268,0.885,1290,
94,66,38,450,4,4,2,16,0.8,0.000268,0.896,1310,
95,66,38,450,4,4,2,16,0.8,0.000268,0.917,1340,
96,66,38,450,4,4,2,16,0.8,0.000268,0.959,1400,
97,66,38,450,4,4,2,16,0.8,0.000268,2.14,1440,
98,66,38,450,4,4,2,16,0.8,0.000268,2.16,1490,
99,66,38,450,4,4,2,16,0.8,0.000268,3.21,1540,
104,16,32,260,3,4,1.28,15,0.6,0.000268,0.00177,4.16,
105,16,32,260,3,4,1.28,15,0.6,0.000268,0.00415,12.5,
106,16,32,260,3,4,1.28,15,0.6,0.000268,0.00862,20.8,
107,16,32,260,3,4,1.28,15,0.6,0.000268,0.00965,29.1,
108,16,32,260,3,4,1.28,15,0.6,0.000268,0.0138,33.3,
109,16,32,260,3,4,1.28,15,0.6,0.000268,0.0138,41.6,
110,16,32,260,3,4,1.28,15,0.6,0.000268,0.0258,62.4,
111,16,32,260,3,4,1.28,15,0.6,0.000268,0.0234,70.7,
112,16,32,260,3,4,1.28,15,0.6,0.000268,0.0653,74.9,
113,16,32,260,3,4,1.28,15,0.6,0.000268,0.0738,83.2,
114,16,32,260,3,4,1.28,15,0.6,0.000268,0.118,125,
115,16,32,260,3,4,1.28,15,0.6,0.000268,0.193,208,
116,16,32,260,3,4,1.28,15,0.6,0.000268,0.343,291,
117,16,32,260,3,4,1.28,15,0.6,0.000268,0.407,374,
118,16,32,260,3,4,1.28,15,0.6,0.000268,0.457,416,
119,16,32,260,3,4,1.28,15,0.6,0.000268,0.506,458,
120,16,32,260,3,4,1.28,15,0.6,0.000268,0.53,478,
121,16,32,260,3,4,1.28,15,0.6,0.000268,0.537,485,
122,16,32,260,3,4,1.28,15,0.6,0.000268,0.542,489,
123,16,32,260,3,4,1.28,15,0.6,0.000268,0.545,491,
124,16,32,260,3,4,1.28,15,0.6,0.000268,0.555,499,
125,16,32,260,3,4,1.28,15,0.6,0.000268,0.58,520,
126,16,32,260,3,4,1.28,15,0.6,0.000268,1.11,532,
127,16,32,260,3,4,1.28,15,0.6,0.000268,1.13,541,
128,16,32,260,3,4,1.28,15,0.6,0.000268,1.83,582,
132,29,36,290,4,4,1.83,16,0.6,0.000268,0.00163,8.41,
133,29,36,290,4,4,1.83,16,0.6,0.000268,0.00375,25.2,
134,29,36,290,4,4,1.83,16,0.6,0.000268,0.00625,42.1,
135,29,36,290,4,4,1.83,16,0.6,0.000268,0.00749,50.5,
136,29,36,290,4,4,1.83,16,0.6,0.000268,0.00874,58.9,
137,29,36,290,4,4,1.83,16,0.6,0.000268,0.0127,67.3,
138,29,36,290,4,4,1.83,16,0.6,0.000268,0.0125,84.1,
139,29,36,290,4,4,1.83,16,0.6,0.000268,0.0238,126,
140,29,36,290,4,4,1.83,16,0.6,0.000268,0.02,135,
141,29,36,290,4,4,1.83,16,0.6,0.000268,0.0212,143,
142,29,36,290,4,4,1.83,16,0.6,0.000268,0.0748,151,
143,29,36,290,4,4,1.83,16,0.6,0.000268,0.0774,168,
144,29,36,290,4,4,1.83,16,0.6,0.000268,0.136,252,
145,29,36,290,4,4,1.83,16,0.6,0.000268,0.203,421,
146,29,36,290,4,4,1.83,16,0.6,0.000268,0.416,673,
147,29,36,290,4,4,1.83,16,0.6,0.000268,0.48,841,
148,29,36,290,4,4,1.83,16,0.6,0.000268,0.371,925,
149,29,36,290,4,4,1.83,16,0.6,0.000268,0.407,1010,
150,29,36,290,4,4,1.83,16,0.6,0.000268,0.41,1020,
151,29,36,290,4,4,1.83,16,0.6,0.000268,0.418,1030,
152,29,36,290,4,4,1.83,16,0.6,0.000268,0.442,1090,
153,29,36,290,4,4,1.83,16,0.6,0.000268,1.24,1120,
154,29,36,290,4,4,1.83,16,0.6,0.000268,1.6,1160,
155,29,36,290,4,4,1.83,16,0.6,0.000268,1.61,1140,
156,29,36,290,4,4,1.83,16,0.6,0.000268,1.94,1140,
160,29,36,290,4,4,2.08,16,0.6,0.000268,0.00161,8.41,
161,29,36,290,4,4,2.08,16,0.6,0.000268,0.00371,25.2,
162,29,36,290,4,4,2.08,16,0.6,0.000268,0.00618,42.1,
163,29,36,290,4,4,2.08,16,0.6,0.000268,0.00741,50.5,
164,29,36,290,4,4,2.08,16,0.6,0.000268,0.00803,54.7,
165,29,36,290,4,4,2.08,16,0.6,0.000268,0.00864,58.9,
166,29,36,290,4,4,2.08,16,0.6,0.000268,0.0117,63.1,
167,29,36,290,4,4,2.08,16,0.6,0.000268,0.0125,67.3,
168,29,36,290,4,4,2.08,16,0.6,0.000268,0.0141,75.7,
169,29,36,290,4,4,2.08,16,0.6,0.000268,0.0188,101,
170,29,36,290,4,4,2.08,16,0.6,0.000268,0.0247,168,
171,29,36,290,4,4,2.08,16,0.6,0.000268,0.0795,177,
172,29,36,290,4,4,2.08,16,0.6,0.000268,0.106,185,
173,29,36,290,4,4,2.08,16,0.6,0.000268,0.115,210,
174,29,36,290,4,4,2.08,16,0.6,0.000268,0.132,252,
175,29,36,290,4,4,2.08,16,0.6,0.000268,0.189,336,
176,29,36,290,4,4,2.08,16,0.6,0.000268,0.198,421,
177,29,36,290,4,4,2.08,16,0.6,0.000268,0.318,589,
178,29,36,290,4,4,2.08,16,0.6,0.000268,0.367,673,
179,29,36,290,4,4,2.08,16,0.6,0.000268,0.329,841,
180,29,36,290,4,4,2.08,16,0.6,0.000268,0.363,925,
181,29,36,290,4,4,2.08,16,0.6,0.000268,0.398,1010,
182,29,36,290,4,4,2.08,16,0.6,0.000268,0.615,1090,
183,29,36,290,4,4,2.08,16,0.6,0.000268,0.45,1140,
184,29,36,290,4,4,2.08,16,0.6,0.000268,0.467,1180,
185,29,36,290,4,4,2.08,16,0.6,0.000268,1.46,1220,
186,29,36,290,4,4,2.08,16,0.6,0.000268,1.69,1260,
187,29,36,290,4,4,2.08,16,0.6,0.000268,2.06,1260,
188,38,32,300,4,4,1.76,13,0.8,0.000268,0.00282,11.4,
189,38,32,300,4,4,1.76,13,0.8,0.000268,0.00557,22.8,
190,38,32,300,4,4,1.76,13,0.8,0.000268,0.00557,22.8,
191,38,32,300,4,4,1.76,13,0.8,0.000268,0.00833,34.2,
192,38,32,300,4,4,1.76,13,0.8,0.000268,0.0111,45.6,
